region,card_type,place_id,has_photo,has_placeholder,placeholder_label,status
nice,place-card-lg,le-suquet,YES,NO,명소·관광,HAS_PHOTO
nice,place-card-lg,marche-forville,YES,NO,명소·관광,HAS_PHOTO
nice,place-card-lg,menton,NO,YES,장소 사진 자리,FALLBACK_OK
nice,place-card,nice-walk,YES,NO,명소·관광,HAS_PHOTO
nice,place-card,cannes-walk,YES,NO,명소·관광,HAS_PHOTO
nice,place-card,monaco-walk,YES,NO,명소·관광,HAS_PHOTO
nice,place-card,promenade-des-anglais,YES,NO,명소·관광,HAS_PHOTO
nice,place-card,vieux-nice,YES,NO,명소·관광,HAS_PHOTO
nice,place-card,le-figuier-de-saint-esprit,NO,YES,식당·카페 사진 자리,FALLBACK_OK
nice,place-card,restaurant-beatrice,NO,YES,식당·카페 사진 자리,FALLBACK_OK
nice,place-card,cannes,YES,NO,명소·관광,HAS_PHOTO
nice,place-card,marche-de-la-liberation,YES,NO,명소·관광,HAS_PHOTO
nice,place-card,monaco,YES,NO,명소·관광,HAS_PHOTO
nice,place-card,villa-ephrussi-de-rothschild,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card-lg,bourse-de-commerce-pinault-collection,YES,NO,명소·관광,HAS_PHOTO
paris,place-card-lg,grand-palais,YES,NO,명소·관광,HAS_PHOTO
paris,place-card-lg,latin-quarter,YES,NO,명소·관광,HAS_PHOTO
paris,place-card-lg,le-marais,YES,NO,명소·관광,HAS_PHOTO
paris,place-card-lg,montmartre-south-pigalle,YES,NO,명소·관광,HAS_PHOTO
paris,place-card-lg,musee-carnavalet,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card,musee-d-art-moderne-de-paris,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card,musee-d-orsay,YES,NO,명소·관광,HAS_PHOTO
paris,place-card,musee-de-l-orangerie,YES,NO,명소·관광,HAS_PHOTO
paris,place-card,musee-du-louvre,YES,NO,명소·관광,HAS_PHOTO
paris,place-card,musee-du-luxembourg,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card,musee-guimet,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card,musee-gustave-moreau,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card,musee-jacquemart-andre,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card,musee-marmottan-monet,YES,NO,명소·관광,HAS_PHOTO
paris,place-card,musee-picasso-paris,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card,musee-rodin,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card,notre-dame-de-paris,YES,NO,명소·관광,HAS_PHOTO
paris,place-card,petit-palais,NO,YES,장소 사진 자리,FALLBACK_OK
paris,place-card,versailles,YES,NO,명소·관광,HAS_PHOTO
paris,place-card,boulangerie-pichard,NO,YES,카페 사진 자리,FALLBACK_OK
paris,place-card,marche-convention,NO,YES,식당·카페 사진 자리,FALLBACK_OK
paris,place-card,cafe-du-commerce,NO,YES,식당·카페 사진 자리,FALLBACK_OK
paris,place-card,le-grand-pan,NO,YES,식당·카페 사진 자리,FALLBACK_OK
paris,place-card,bouillon-chartier-montparnasse,NO,YES,식당·카페 사진 자리,FALLBACK_OK
paris,place-card,bnf-richelieu,YES,NO,명소·관광,HAS_PHOTO
paris,place-card,centre-pompidou,YES,NO,명소·관광,HAS_PHOTO
paris,place-card,giverny,YES,NO,명소·관광,HAS_PHOTO
paris,place-card,montorgueil,YES,NO,명소·관광,HAS_PHOTO
