id,name,region,current_type,source_file,canonical_source_candidate,generated_url,day_refs,region_refs,walk_refs,map_ref,search_ref,has_dedicated_place_page,current_content_depth,facts_status,source_status,duplicate_candidate,alias_candidate,orphan_status,archive_candidate,notes
atelier-cezanne,Atelier des Lauves,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 15,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,atelier-des-lauves,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: atelier-cezanne)
avinguda-gaudi,Avinguda de Gaudí,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 02,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: avinguda-gaudi)
bcn-airport,BCN T1 도착 — OZ511,day-referenced,day_stop_transport,data/daily-cards/ (multiple days),data/daily-cards/,,Day 01,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,barcelona-sants,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: bcn-airport)
belleville,Belleville 또는 한 동네 경로,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 39,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: belleville)
bories,Village des Bories,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 18,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,village-des-bories,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: bories)
can-robert,Can Robert · Sitges,day-referenced,day_stop_transport,data/daily-cards/ (multiple days),data/daily-cards/,,Day 04,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: can-robert)
castle-hill,Colline du Château,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 08,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,colline-du-chateau,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: castle-hill)
cau-ferrat-maricel,Cau Ferrat + Maricel,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 04,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: cau-ferrat-maricel)
cdg,CDG 이동·수속·détaxe,day-referenced,day_stop_transport,data/daily-cards/ (multiple days),data/daily-cards/,,Day 42,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: cdg)
charles-negre,사진미술관 Charles Nègre,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 11,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: charles-negre)
